"","BRCA1","nonBRCA1","FC_nonBRCA1_BRCA1","logFC_nonBRCA1_BRCA1","p.val.adj.nonBRCA1.BRCA1","labels","input.mz","input.rt","M+H","M+NH4","M+Na","M+K","M+H-H2O","M+H-2H2O"
"FT00014",2620.23022460938,3249.75231933594,1.24025449703391,0.310636188302353,0.0692737844981351,"FT00014",100.989172996189,105.094940185547,"No hit","No hit","Thyroxine;Angiotensin IV;Guanosine triphosphate adenosine;3'-Sialyl-3-fucosyllactose;PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z));PC(14:0/22:5(7Z,10Z,13Z,16Z,19Z));PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z));PC(14:1(9Z)/22:4(7Z,10Z,13Z,16Z));PC(14:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z));PC(14:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z));PC(14:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z));PC(15:0/20:0);PC(15:0/20:1(11Z));PC(15:0/20:2(11Z,14Z));PC(16:0/20:5(5Z,8Z,11Z,14Z,17Z));PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z));PC(16:1(9Z)/20:4(8Z,11Z,14Z,17Z));PC(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z));PC(18:0/P-18:0);PC(18:0/P-18:1(11Z));PC(18:0/P-18:1(9Z));PC(18:1(11Z)/18:4(6Z,9Z,12Z,15Z));PC(18:1(11Z)/P-18:0);PC(18:1(9Z)/18:4(6Z,9Z,12Z,15Z));PC(18:1(9Z)/P-18:0);PC(18:2(9Z,12Z)/18:3(6Z,9Z,12Z));PC(18:2(9Z,12Z)/18:3(9Z,12Z,15Z));PC(18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z));PC(18:3(6Z,9Z,12Z)/18:2(9Z,12Z));PC(18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z));PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z));PC(18:3(6Z,9Z,12Z)/18:4(6Z,9Z,12Z,15Z));PC(18:3(9Z,12Z,15Z)/18:2(9Z,12Z));PC(18:3(9Z,12Z,15Z)/18:3(6Z,9Z,12Z));PC(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z));PC(18:3(9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z));PC(18:4(6Z,9Z,12Z,15Z)/18:1(11Z));PC(18:4(6Z,9Z,12Z,15Z)/18:1(9Z));PC(18:4(6Z,9Z,12Z,15Z)/18:2(9Z,12Z));PC(18:4(6Z,9Z,12Z,15Z)/18:3(6Z,9Z,12Z));PC(18:4(6Z,9Z,12Z,15Z)/18:3(9Z,12Z,15Z));PC(18:4(6Z,9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z));PC(20:0/15:0);PC(20:0/P-16:0);PC(20:1(11Z)/15:0);PC(20:1(11Z)/P-16:0);PC(20:2(11Z,14Z)/15:0);PC(20:4(5Z,8Z,11Z,14Z)/16:1(9Z));PC(20:4(8Z,11Z,14Z,17Z)/16:1(9Z));PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0);PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z));PC(22:4(7Z,10Z,13Z,16Z)/14:1(9Z));PC(22:5(4Z,7Z,10Z,13Z,16Z)/14:0);PC(22:5(4Z,7Z,10Z,13Z,16Z)/14:1(9Z));PC(22:5(7Z,10Z,13Z,16Z,19Z)/14:0);PC(22:5(7Z,10Z,13Z,16Z,19Z)/14:1(9Z));PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:0);PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:1(9Z));PE(14:0/24:0);PE(14:0/24:1(15Z));PE(14:1(9Z)/24:0);PE(14:1(9Z)/24:1(15Z));PE(16:0/22:0);PE(16:0/22:1(13Z));PE(16:0/22:2(13Z,16Z));PE(16:1(9Z)/22:0);PE(16:1(9Z)/22:1(13Z));PE(18:0/20:0);PE(18:0/20:1(11Z));PE(18:0/20:2(11Z,14Z));PE(18:1(11Z)/20:0);PE(18:1(11Z)/20:1(11Z));PE(18:1(9Z)/20:0);PE(18:1(9Z)/20:1(11Z));PE(18:2(9Z,12Z)/20:0);PE(20:0/18:0);PE(20:0/18:1(11Z));PE(20:0/18:1(9Z));PE(20:0/18:2(9Z,12Z));PE(20:1(11Z)/18:0);PE(20:1(11Z)/18:1(11Z));PE(20:1(11Z)/18:1(9Z));PE(20:2(11Z,14Z)/18:0);PE(22:0/16:0);PE(22:0/16:1(9Z));PE(22:1(13Z)/16:0);PE(22:1(13Z)/16:1(9Z));PE(22:2(13Z,16Z)/16:0);PE(22:4(7Z,10Z,13Z,16Z)/P-18:0);PE(22:4(7Z,10Z,13Z,16Z)/P-18:1(11Z));PE(22:4(7Z,10Z,13Z,16Z)/P-18:1(9Z));PE(22:5(4Z,7Z,10Z,13Z,16Z)/dm18:0);PE(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(11Z));PE(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(9Z));PE(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:0);PE(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:1(11Z));PE(22:5(7Z,10Z,13Z,16Z,19Z)/dm18:1(9Z));PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0);PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:1(11Z));PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z));PE(24:0/14:0);PE(24:0/14:1(9Z));PE(24:1(15Z)/14:0);PE(24:1(15Z)/14:1(9Z));Hyaluronan;TG(16:0/14:0/16:0)[iso3];TG(16:0/14:0/16:1(9Z))[iso6];TG(16:1(9Z)/14:0/16:1(9Z))[iso3];PE-NMe2(18:1(9Z)/18:1(9Z));PG(16:0/20:3(5Z,8Z,11Z));PG(16:0/20:3(8Z,11Z,14Z));PG(16:0/20:4(5Z,8Z,11Z,14Z));PG(16:1(9Z)/20:3(5Z,8Z,11Z));PG(16:1(9Z)/20:3(8Z,11Z,14Z));PG(18:0/18:0);PG(18:0/18:1(11Z));PG(18:0/18:1(9Z));PG(18:0/18:2(9Z,12Z));PG(18:0/18:3(6Z,9Z,12Z));PG(18:0/18:3(9Z,12Z,15Z));PG(18:1(11Z)/18:0);PG(18:1(11Z)/18:1(11Z));PG(18:1(11Z)/18:1(9Z));PG(18:1(11Z)/18:2(9Z,12Z));PG(18:1(11Z)/18:3(6Z,9Z,12Z));PG(18:1(11Z)/18:3(9Z,12Z,15Z));PG(18:1(9Z)/18:0);PG(18:1(9Z)/18:1(11Z));PG(18:1(9Z)/18:1(9Z));PG(18:1(9Z)/18:2(9Z,12Z));PG(18:1(9Z)/18:3(6Z,9Z,12Z));PG(18:1(9Z)/18:3(9Z,12Z,15Z));PG(18:2(9Z,12Z)/18:0);PG(18:2(9Z,12Z)/18:1(11Z));PG(18:2(9Z,12Z)/18:1(9Z));PG(18:2(9Z,12Z)/18:2(9Z,12Z));PG(18:3(6Z,9Z,12Z)/18:0);PG(18:3(6Z,9Z,12Z)/18:1(11Z));PG(18:3(6Z,9Z,12Z)/18:1(9Z));PG(18:3(9Z,12Z,15Z)/18:0);PG(18:3(9Z,12Z,15Z)/18:1(11Z));PG(18:3(9Z,12Z,15Z)/18:1(9Z));PC(P-16:0/20:0);PC(P-16:0/20:1(11Z));PC(P-18:0/18:0);PC(P-18:0/18:1(11Z));PC(P-18:0/18:1(9Z));PC(P-18:1(11Z)/18:0);PC(P-18:1(9Z)/18:0);PE(P-18:0/22:4(7Z,10Z,13Z,16Z));PE(P-18:0/22:5(4Z,7Z,10Z,13Z,16Z));PE(P-18:0/22:5(7Z,10Z,13Z,16Z,19Z));PE(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z));PE(P-18:1(11Z)/22:4(7Z,10Z,13Z,16Z));PE(P-18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z));PE(P-18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z));PE(P-18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z));PE(P-18:1(9Z)/22:4(7Z,10Z,13Z,16Z));PE(P-18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z));PE(P-18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z));PE(P-18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z));3-O-Sulfogalactosylceramide (d18:1/16:0);PS(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z));PS(14:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z));PS(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z));PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:0);PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:1(9Z));PC(o-16:0/20:0);PC(o-16:1(9Z)/20:0);PC(o-18:0/18:0);PC(o-18:0/18:2(9Z,12Z));PC(o-18:1(9Z)/18:0);PC(o-18:1(9Z)/18:1(11Z));Glycerol 1,3-ditetradecanoate 2-(9Z-octadecenoate);Ginsenoside F5;Lyciumoside IV;Aginoside progenin;Notoginsenoside R2;Glycinoprenol 11;Ginsenoside F3;Periandrin V;Pseudoginsenoside RT3;Torvoside E;TG(14:0/14:0/18:0);TG(14:0/14:0/18:1(11Z));TG(14:0/14:0/18:1(9Z));TG(14:0/14:0/18:3(6Z,9Z,12Z));TG(14:0/14:0/18:3(9Z,12Z,15Z));TG(14:0/14:0/18:4(6Z,9Z,12Z,15Z));TG(14:0/15:0/o-18:0);TG(14:0/16:0/16:0);TG(14:0/16:0/16:1(9Z));TG(14:0/18:0/14:0);TG(14:0/18:0/14:1(9Z));TG(14:0/14:1(9Z)/18:0);TG(14:0/14:1(9Z)/18:1(11Z));TG(14:0/14:1(9Z)/18:1(9Z));TG(14:0/14:1(9Z)/18:3(6Z,9Z,12Z));TG(14:0/14:1(9Z)/18:3(9Z,12Z,15Z));TG(14:0/16:1(9Z)/16:0);TG(14:0/16:1(9Z)/16:1(9Z));TG(14:0/18:1(11Z)/14:0);TG(14:0/18:1(11Z)/14:1(9Z));TG(14:0/18:1(9Z)/14:0);TG(14:0/18:1(9Z)/14:1(9Z));TG(14:0/18:3(6Z,9Z,12Z)/14:0);TG(14:0/18:3(6Z,9Z,12Z)/14:1(9Z));TG(14:0/18:3(9Z,12Z,15Z)/14:0);TG(14:0/18:3(9Z,12Z,15Z)/14:1(9Z));TG(14:0/18:4(6Z,9Z,12Z,15Z)/14:0);TG(14:0/o-18:0/15:0);TG(15:0/14:0/o-18:0);TG(15:0/15:0/16:0);TG(15:0/15:0/16:1(9Z));TG(15:0/16:0/15:0);TG(15:0/14:1(9Z)/o-18:0);TG(15:0/16:1(9Z)/15:0);TG(15:0/o-18:0/14:1(9Z));TG(16:0/16:0/14:1(9Z));TG(16:0/14:1(9Z)/16:0);TG(16:0/14:1(9Z)/16:1(9Z));TG(16:0/16:1(9Z)/14:1(9Z));TG(18:0/14:0/14:1(9Z));TG(18:0/14:1(9Z)/14:1(9Z));TG(14:1(9Z)/14:0/18:1(11Z));TG(14:1(9Z)/14:0/18:1(9Z));TG(14:1(9Z)/14:0/18:3(6Z,9Z,12Z));TG(14:1(9Z)/14:0/18:3(9Z,12Z,15Z));TG(14:1(9Z)/15:0/o-18:0);TG(14:1(9Z)/16:0/16:1(9Z));TG(14:1(9Z)/18:0/14:1(9Z));TG(14:1(9Z)/14:1(9Z)/18:1(11Z));TG(14:1(9Z)/14:1(9Z)/18:1(9Z));TG(14:1(9Z)/16:1(9Z)/16:1(9Z));TG(14:1(9Z)/18:1(11Z)/14:1(9Z));TG(14:1(9Z)/18:1(9Z)/14:1(9Z));TG(16:1(9Z)/14:1(9Z)/16:1(9Z))","No hit","No hit","No hit"
"FT00015",4839.81640625,4280.69897460938,-1.13061358319213,-0.177105934749002,0.00266466165071889,"FT00015",101.007746794539,72.3777694702148,"No hit","No hit","No hit","No hit","No hit","No hit"
"FT00016",4536.66162109375,22749.8115234375,5.01465910916951,2.32615163140051,3.5143792105828e-07,"FT00016",101.022563850566,228.549041748047,"Succinic anhydride","No hit","No hit","No hit","No hit","Phenyl vinyl sulfide"
"FT00017",9137.7666015625,14316.0380859375,1.56668896352524,0.64771878841277,0.00038205620767653,"FT00017",101.024693222391,42.940673828125,"No hit","No hit","No hit","No hit","Methylmalonic acid;Succinic acid;Erythrono-1,4-lactone;Threonolactone;4-Hydroxy-2-oxobutanoic acid","Hypoxanthine;Erythronic acid;Threonic acid;1-Pentanesulfenothioic acid"
"FT00019",1948.33020019531,20302.0791015625,10.4202455515637,3.38131736980218,0.000595671581119302,"FT00019",101.059039246279,70.4218864440918,"Senecioic acid;Tiglic acid;2-Ethylacrylic acid;3-Methylbutyrolactone;Glutaral;Angelic acid;2,3-Pentanedione;4-Pentenoic acid;2,4-Pentanedione;Isopropenyl acetate;Methyl methacrylate;2-Pentenoic acid","No hit","No hit","No hit","No hit","No hit"
"FT00020",577.174926757812,4105.90380859375,7.11379448109086,2.83061929526089,7.47552094562267e-06,"FT00020",101.059118404828,90.1406097412109,"Senecioic acid;Tiglic acid;2-Ethylacrylic acid;3-Methylbutyrolactone;Glutaral;Angelic acid;2,3-Pentanedione;4-Pentenoic acid;2,4-Pentanedione;Isopropenyl acetate;Methyl methacrylate;2-Pentenoic acid","No hit","No hit","No hit","3-Hydroxy-2-methyl-[R-(R,S)]-butanoic acid;2-Methyl-3-hydroxybutyric acid;2-Ethylhydracrylic acid;2-Hydroxy-3-methylbutyric acid;3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid;3-Hydroxyvaleric acid;Erythronilic acid;3-Hydroxyisovaleric acid;2-Hydroxyvaleric acid;2-Hydroxy-2-methylbutyric acid;4-Hydroxyisovaleric acid;Methyl 3-hydroxybutyrate","No hit"
"FT00021",24469.12890625,39925.740234375,1.63167803755274,0.706356413038633,0.252194292951641,"FT00021",101.070260399387,55.187068939209,"N-Nitroso-pyrrolidine","No hit","No hit","No hit","No hit","No hit"
"FT00022",5244.62939453125,5774.99365234375,1.10112521170047,0.138978530690022,0.427804513906282,"FT00022",101.07793562279,273.861999511719,"No hit","No hit","No hit","No hit","Diisopropyl sulfide;Dipropyl sulfide","No hit"
"FT00024",555853.1875,560740.375,1.00879222717419,0.0126290647394711,0.275660105849479,"FT00024",101.114921382091,525.194152832031,"No hit","No hit","No hit","No hit","No hit","No hit"
"FT00025",550177.6875,551195.96875,1.00185082251268,0.00266770449766477,0.226840711994617,"FT00025",101.114950633377,508.838973999023,"No hit","No hit","No hit","No hit","No hit","No hit"
